task,agent,seed,simple_regret,campaign_cash,cumulative_regret,churn,gain,backslide,wasted_fraction,wasted_rounds,committed_rounds,validity_rate,n_designs,n_valid,unit_days_used,parallel_utilisation,n_rejections
T1,gp_ucb_rep1,6,0.0031655651461323306,-89.21956729927916,295.25119354023207,0.0,0.038642075856399415,0.0,0.0,0,1,0.0,2,0,3360,1.0,0
T1,gp_ucb_rep1,7,0.004583226434713882,-224.26747701138265,289.62825181775656,0.0,0.06107690457582858,0.0,0.0,0,1,0.0,2,0,3360,1.0,0
T1,gp_ucb_rep1,8,0.0005817084583769269,-203.60946893320843,316.89718000949824,0.0,0.06067072602979904,0.0,0.0,0,1,0.0,2,0,3360,1.0,0
T1,gp_ucb_rep1,9,0.0078040108263018396,-144.82225390227046,320.95937290183133,0.0,0.04161072864106411,0.0,0.0,0,1,0.0,2,0,3360,1.0,0
T1,gp_ucb_rep1,10,0.016321879061125616,-112.81335790621378,299.06975482865676,0.0,0.044331895994771,0.0,0.0,0,1,0.0,2,0,3360,1.0,0
T1,gp_ucb_rep1,11,0.004846685830997531,-29.517529064083238,244.7006614117035,0.0,0.03636878102804481,0.0,0.0,0,1,0.0,2,0,3360,1.0,0
T1,gp_ucb_rep1,12,0.009846290718417153,36.843461047726734,329.6734896552994,0.0,0.09796062543137977,0.0,0.0,0,1,0.0,2,0,3360,1.0,0
T1,gp_ucb_rep1,13,0.0026760942300886326,-124.06988267315347,278.8369482845859,0.0,0.05216026912940555,0.0,0.0,0,1,0.0,2,0,3360,1.0,0
T1,gp_ucb_rep1,14,0.0010322445306822567,-173.00754410748144,225.22373301766814,0.0,0.0640065505987954,0.0,0.0,0,1,0.0,2,0,3360,1.0,0
T1,gp_ucb_rep1,15,0.0005679164348276408,-168.0773237182749,311.64340359379423,0.0,0.08254526177861982,0.0,0.0,0,1,0.0,2,0,3360,1.0,0
T1,gp_ucb_rep1,16,0.01998125462677067,-232.50637636717096,326.0003633147838,0.0,0.056466305218376436,0.0,0.0,0,1,0.0,2,0,3360,1.0,0
T1,gp_ucb_rep1,17,0.0006183819542826957,-10.546008995803643,264.2936770198078,0.0,0.08430528220976564,0.0,0.0,0,1,0.0,2,0,3360,1.0,0
T1,gp_ucb_rep1,18,0.0008621306132777645,-38.83257273242644,309.5446930385293,0.0,0.09590754939215948,0.0,0.0,0,1,0.0,2,0,3360,1.0,0
T1,gp_ucb_rep1,19,0.015624644255193096,-117.68680248277543,333.6840713872487,0.0,0.0005333913103488311,0.0,1.0,1,1,0.0,2,0,3360,1.0,0
T2,random_spread,0,0.06821896422812002,-425.08502655418243,1072.8796970353596,0.0,0.07261990504555083,0.0,0.0,0,1,0.0,2,0,5040,1.0,0
T2,random_spread,1,0.037774433198661694,-14.699394448318374,573.4241339404532,0.0,0.0010182678437453269,0.0,1.0,1,1,0.0,2,0,5040,1.0,0
T2,random_spread,2,0.009362075020665231,-227.93517447270654,744.5873905100465,nan,0.0,0.0,1.0,1,1,0.0,2,0,5040,1.0,0
T2,random_spread,3,0.041050055762706136,-195.8944925042175,538.4706135647577,nan,0.0,0.0,1.0,1,1,0.0,2,0,5040,1.0,0
T2,random_spread,4,0.006825327198895975,-228.38005943994474,868.6949350281383,0.0,0.03114278655940267,0.0,0.0,0,1,0.0,2,0,5040,1.0,0
T2,random_spread,5,0.008911071138003684,-235.93677598433257,882.2486611000891,0.0,0.05421964899261918,0.0,0.0,0,1,0.0,2,0,5040,1.0,0
T2,random_spread,6,0.0593692013791721,-188.7178898152776,710.354742143373,1.0,0.0,0.04201863372888769,1.0,1,1,0.0,2,0,5040,1.0,0
